P1, READ,   R1, 0
P2, WRITE,  R1, 0
P3, READ,   R2, 0
P4, WRITE,  R2, 0
P5, READ,   R2, 0
P2, READ,   R2, 1
P3, WRITE,  R2, 1
P6, READ,   R2, 1
P7, READ,   R3, 1
P8, WRITE,  R3, 1
P1, WRITE,  R1, 2
P2, READ,   R1, 2
P9, READ,   R3, 2
P10, WRITE, R3, 2
P11, READ,  R4, 2
P4, READ,   R5, 3
P5, WRITE,  R5, 3
P12, READ,  R5, 3
P13, WRITE, R5, 3
P6, WRITE,  R2, 4
P7, READ,   R2, 4
P14, READ,  R4, 4
P15, WRITE, R4, 4
P8, READ,   R3, 5
P9, WRITE,  R3, 5
P16, READ,  R5, 5
P17, WRITE, R5, 5
P3, READ,   R1, 6
P4, WRITE,  R2, 6
P18, READ,  R2, 6
P10, READ,  R2, 7
P11, WRITE, R2, 7
P12, READ,  R2, 7
P13, WRITE, R3, 7
P14, READ,  R3, 7
P15, READ,  R5, 8
P16, WRITE, R1, 8
P17, READ,  R1, 8
P18, WRITE, R4, 8
